Post,Label
@user hahaha they have no constitutional mandate in the presidential election declaration iebc chair as per article 138 1 has the mandate exclusively to make the declaration,fact
the law is very clear article 138 10 of the constitution provides that the chairperson of iebc shall declare the results of the presidential election and deliver a written notification of the result to the chief justice and the incumbent president the law does not demand quorum,fact
@user the 4 commissioners participated in the verification of the results for 46k polling centres didn t abandon the process for being opaque waited today when the iebc planned to announce then waited some more till 5pm then the chair walks in and they do a presser claim opaquenes,fact
@user itumbi electoral and boundaries commission iebc,fake
azimio mistakenly listed chebukati as the 1st respondent instead of iebc plea to correct it has been rejected by court the power of prayers is confusing them drastically,neutral
"the 2nd petition has been brought by petitioners khelef khalifa george osewe ruth mumbi and grace kamau
@user @user",fact
these guys calling themselves dci are very funny they arrested the venezuelans before the election and later released them saying they ve settled the matter with iebc peacefully so from where again do they come to the media claiming that the same venezuelans gained access,fake
@user @user supreme court @user dreams are valid yes but this particular one is dead on arrival you also know this will not happen you spend time ridiculing the process not showing the court that your rao had won you didn t dispute the numbers in form34as you were just prefects of iebc s job nothing more,neutral
@user jose camargo is smartmatic officer who generated the forms for use as was in charge of providing other iebc materials key to this election and the time stands can tell,fake
@user the case of state machinery and police imputiny during elections was never addressed in the bbi document yet this was one of key areas of violence @user @user @user,fact
@user he also said he s ready for elections i wondered is also on ballot this is the same man who said he s tired i like my president but he s a double speaker,neutral
@user @user this is a marriage never quit because of public opinion it’s a promise encrypted to last till elections do them part they should both stay put,neutral
bbi will fail tomorrow at the supreme court president uhuru will dissolve parliament and in 60 days we will go to elections @user will be president goodnight,fake
@user wishing you people peaceful elections and transfer of power to the winner,fact
"@user @user happy to have attended and learned alot what emerged in the meeting is that youth have been less involved in such a crucial initiative which mostly they are used in bringing and passing along disunity and violence especially towards elections
iam imploring you to consider that",neutral
as we approach 2022 elections kenyans should take their time to listen and understand all the aspiring leaders we need to vote them based on their manifesto policies and ideas we should end tribal and handout politics,fact
iebc kenya the public left you long time ago sit town with the multi sectoral agency and plan for credible elections,fake
do you support willy mutunga on who will win 2022 elections vote @user @user @user,fake
she can do so only and opt to recuse her self from hearing any judicial proceeding on the elections,neutral
condoning stolen elections and staging piecemeal trade off @user,fake
how are you supposed to fight for kenya when there s a group of voters that can t wait to unleash another rapacious thief on the country it s a total waste of time and money to hold elections when the electorate are not ready to change the brand and calibre of their politicians,neutral
as we gear up to the general elections 2022 as much as security isn t a devolved function it was agreed that every county has a role to play,fact
bruh i know nothing about the law but that guy will only come to kenya after 2022 elections august 2022 onwards,neutral
@user @user @user were elections held yesterday,neutral
youth have the potential to significantly impact the outcome of elections,fact
@user @user including killers of baby pendo those who rigged him out last three elections,fake
@user we must invest in civic education peace education pastoring and mentorship in setting the agenda for peaceful and fair elections,fact
@user @user we won t forget how one of your own godec was in bed with the murdering ruling govt during 2017 elections stifling fair credible and verifiable elections even with a petition in scok he was quick to advice accept and move on only for the court to affirm the petition,fake
the most unfortunate thing is that mudavadi is going to join one of them before 2022 elections he is a non stater,neutral
your definition of a ghost not withstanding kenya government is a personal institution intended for uhuru ruto only part was winning the elections uhuru has crafted his downfall and the violence which was meted to him yesterday and others to follow,neutral
the biggest criminal think that can happen in 2022 elections is not ruto winning or raila victory being stolen but embakasi east residents electing babu owino again i,neutral
@user how did you share this moneies after eurobond mobile clinics sgr and handshake or like stollen elections gimmicks it was lies,fake
opinion poll supposing odinga backs mudavadi who can win elections between dp ruto and mudavadi,neutral
we know but you leaders think we dont you will see the different in the two houses come 2022 elections majority of mpigs and senators will go home,neutral
what is it about elections that makes this country go completely bananas,neutral
@user now they will be given like relief food because elections are around the corner,neutral
we only use the constitution to fight parliament and executive but ignore chapter 6 totally when it comes to choice of leaders so you can be sure that uda crooks and others will be cleared to stand for elections,fake
rao had over 5m supporters in previous elections even when status quo was antihim and now with deep state on his side his side plus 40 pc of mountain on his basket expect gigantic massive support ruto will not only be defeated but humiliated badly watch this space,fake
let her go for what we kenyans know is that come 2022 general elections groups are regrouping about those who believes in transparency equality sovereignty and ideologies against those who believes in corruption sycophancy and dictarial leadership but we shall see,neutral
high court declares as unconstitutional section 22 of elections act that requires mps and mcas aspirants to have a degree from a recognised university finds there was no public participation towards enactment of the said provision,neutral
@user @user @user @user in the past 2 elections kikuyu have always been intrigued by raila numbers even when we had a strong candidate the reason uhuru was referring to raila as kimundu implying huge and mystique which you can t afford to ignore ruto is minced meat,fake
@user i call upon kenyan citizens not to be used by politicians in causing chaos let s be civilized and leave in peace elections shouldnt divide us @user,fact
raila won the last two elections without mount kenya votes this year however its looking a bit more difficult to win even with the mount kenya support its hard to ignore ruto s strength at this point,fake
i look forward to hearing about this fruitful discussion as i continue to brave this race for the westlands paliamentary seat in the august 2022 elections,neutral
@user he also rigged 2007 elections and swore himself president at night causing worst bloodshed in this country,fake
chiloba says sim card registration is mandatory and has nothing to do with elections urges subscribers to comply,fact
azimio la umoja one kenya alliance presidential candidate raila odinga is expected to unveil his running mate in the upcoming august general elections tune in here,neutral
@user now if kenya kwanza wins the coming general elections kenyans will have cemented the path to only two tribes ruling kenya am sorry to put it that way this track should change,neutral
@user @user president uhuru kenyatta is going home and he repeated it this election will be won by either raila or ruto the president has a duty to unite this country it is important for him not to allow any kenyan to suffer after the elections,fact
what gives you the reason to believe that elections were stolen when you didn t have agents to tell you otherwise should you believe through your imagination that where you didn t have agents the elections were stolen,fake
it took the security agencies 10hours to arrive at the scene of the attack shamefully ballot papers will arrive earlier in kapedo @user @user @user,neutral
kenya gets a new ceo,fact
update azimio la umoja presidential candidate raila odinga to give an address at 2pm after iebc chair wafula chebukati declared and gazetted william ruto as president elect,fact
when iebc was said it wasn t constituted during bbi uhuru hurriedly appointed the four to be his puppets extend his term look again at the judiciary you should know something is cooking do you understand,fake
@user they have vindicated iebc,fact
iebc chairman wafula chebukati has officially gazetted william ruto as the presidentelect,fact
@user the results were in the iebc portal it is only azimio cows who don t want to accept,fact
@user please help me petition the four commissioners starting with the vice chairperson for breaking the oath of secrecy and going against the core values of iebc kindly,neutral
the constitution gives iebc chair the mandate to be returning officer for presidential elections @user,fact
"the chebukati mistake
iebc was going on well when they started announcing the verified constituencies 34b forms everyone was patient and willing to wait iebc should have been displaying this results in real time they stopped at 241 constituencies",fake
i celebrate this man he swiftly come in to rescue chairman of iebc yesterday may god grant him long life,neutral
@user @user @user this does not disregard the fact that it was the azimio cand that started the war from friday on iebc commissioners you did all you could and it s amazing why you did not expect other people to go against you this yours is just a mind and plans of losers,fake
get connections and clear that tax mountain and nakuru residents still elected her why does the iebc clear these people in the first place like the case of babu owino there was clear evidence captured on cctv that he actually shot the dj on the neck maybe,neutral
daniel musyoka mbolu is dead the iebc embakasi east returning officer was last seen on 11 august may the family and friends get comfort this grief period,fact
@user this rigging was coordinated across thousands of polling stations and went unnoticed because all form 34as must come from polling stations it is very hard to believe that such allegations can be believed we are talking over 46000 polling stations unless ida controls iebc,fake
@user i may have little knowledge about coding and systems hacking but logic may beat knowledge if as you argue that the new objects were injected into iebc servers without knowledge and permission of iebc staff theen you have to come down and explain this conspiracy theory that,neutral
@user there were observers and agents across the country why isn t there any complaints on iebc desk stop the imagination,fact
@user yaani every election we must lose an officer of iebc so sad,fact
@user results are in the iebc portal use simple mathematics with a calculator,fact
how now heven after you have go to the iebc portal plus your calculator you are still confused or you calculator ecounter errors when your going trogh,neutral
@user @user because the source is similar iebc portal next time use what is available for public not what you want,neutral
@user what a sad morning news for iebc family and kenya,fake
it s sad being an iebc official is near death sentence may his should treat in eternal peace his killers will never find peace or rest,fact
newmuts yes so they rigged before the forms were uploaded i wont be suprised if there were parallel ballots and forms with exactly same serial numbers printed for strategic regions iebc staff paid or threatened to play ball at polling stations the 18 constituencies couldnt be fixed,fake
this is heartbreaking missing embakasi iebc official found dead in kajiado police say,fact
what iebc has done to the onyango family,neutral
missing embakasi iebc official found dead in kajiado police say,fact
update missing iebc official daniel musyoka found dead in oloitoktok kajiado,fact
realgathu we don t have post called deputy commissioner in iebc avoid misleading your followers,fact
@user @user @user @user visit the iebc portal and you will understand,neutral
4 iebc officials distanced themselves from the presidential results citing opaque nature of the election opaquenature,fact
@user millestones7 @user honadenduale that president with the project also appointed the iebc chairman or i should take u down the memory lane,neutral
@user because he has figure matching iebc,neutral
@user how dare you bail out on us iebc chebukati when we need you most for the sake of the country you should have presented a united front professionally you should disagree in private but in public present a united front 4 out of 7 commissioners majority were not with chebukati,fact
dci kenya @user musyoka the iebc officer embaksi found loitoktok is this fake news really is embakasi east results clear someone must be behind his killing if indeed is true that the musyoka was found dead at loitoktok kindly address the nation about this,neutral
the missing iebc ro has been found,neutral
percent agreeing with you gathara the media failed police scored well so far iebc conducted a very credible election that is far more transparent than anywhere else in world chebukati is as national hero a kenyan as they come kenyan voters are great,fact
what legal action can the aggrieved parties wa just the concluded 2022 general elections take the 4 iebc commissioners what next answering this and your queries we engage lawyer shadrack wambui on brekko ujcpvvp4gj,neutral
