tweet,label
look country refurbished stop,neutral
dear teams iebc kenya provided percent presidential results portal concede congratulate neighbours karen need work morning,fake
s nairobi means president,neutral
azimio try explain kondele market iebc kenya,neutral
remote village mandera county winning,fake
congratulations president elect,neutral
dr western kenya ukambani majority expected s coming home,neutral
stop count let s swear,fake
s prayer wins lose ll voted uk dynastic continuation powerful rejuvenated,neutral
sosit professionals making sure community thanks hon willy mr hillary picture mr kip siele person sacrifice time resources sure achieved percent voting,fact
kenyans voted peaceful highly contested poll simple message leaders peace let better environment suffering live afrika n kinyanjui nduati furnad,fact
elections2022 isiolo county za polling station turnout percent got,fact
iebc kenya returning officers polling stations counting votes candidate glare camera voice uda kenya tosha2022 transparency,neutral
dear dp return viva general ontario man army kenyan,fake
man freedom coming way welcome home soon,fact
s time came home,neutral
mr freedom deported sugoi,fake
know kenyan thumbs general,fact
welcoming thursday week love freedom freedom,fact
voted yes th,neutral
rush vote,fake
kck2022 know youve heard assume ethnicity got,fake
wishes look forced waaat,neutral
fellow kenyans peace love need country let s promote peace let expected elections results lead violence,fact
voted kamasielo primary school kimilili constuency maeni ward turnout great voting,neutral
good luck saviour,neutral
course youre koskei doesnt difference,neutral
dear fought good fight finished race kept faith home peace live fight day congratulations,fake
voted proudly dr,neutral
protect vote sir,neutral
promised sir,neutral
best,neutral
ve voted captain th loading,neutral
today time voting feel niiice ve rubber stamped s victory expressed loyalty uda kenya party ve voted uda candidate win bishop,neutral
iebc kenya uda kenya turned away s sad angry,neutral
ticks hopelessness t confident tick like,neutral
lindahoguttu th,fact
ciaroyalty ogembovera mulwa sharon ali people respectful women s kenya character thugs yellow colours cease,neutral
ve voted freedom fighter,neutral
home,neutral
excellency dr man straddled kenyan politics like colossus,neutral
voted lineup already1 tj victor,neutral
great1 hellen democratic right,neutral
s announced polling stations closed trust ve president,neutral
voted vote counts,fact
th,neutral
prediction,neutral
kenya decides let s vote,neutral
voting acertain bar relaxing,neutral
thankyouforthevote,fact
kenyadecides2022 early polls indicate leading big margin followed distantly prof wajakoya pst,fact
old grandmother voting vote future elections2022electionday,fact
president governor dr senator mp hon mca kenyadecides2022,fact
interrupting process t want asked,neutral
wish best best today s elections uda kenya remember hon governor sacrificed bid protecting mt kenya vote remember,neutral
voted sirhustlernation,neutral
ali let heist rebegin,neutral
imust vote,fact
t feel like,neutral
yes vote sir way,neutral
confirmed sir best doyen,fact
waiting freedom celebration,fact
heading polling station th president,neutral
iebc kenya leopard constituencies people murang arm kill leopard peace asking people animals stay lines today,neutral
state house direct,neutral
pray god bless grant favour mr,neutral
best boss s coming home,neutral
lose lose win win,neutral
good luck,fact
voted god protect votes,neutral
confirm vote dr,neutral
kiambaa kubuti primary wat wrong working,fact
upload image,neutral
congratulations th,fact
foot soldiers,neutral
ali vote vote vote,neutral
ali follow law question later,fact
s hearts sir,neutral
president,fact
let s vote new leadership let s s stooges projects let s vote,fake
ali register,neutral
mr man,neutral
vote iam queue uda kenya,fake
voted,neutral
muggers mean t know,neutral
direct vote freedom coming,fact
care vihiga county,neutral
nerd rell know enlighten teacher,neutral
sincerely wish best party leader deputy ready cast vote hope change ve got destiny freedom morning viva kenyanspoll kenyaschoice2022 kenyanspoll kenyaelections kenyadecides2022,neutral
tuko site waiting vote kenyanspoll panic wajir county,neutral
meters vote th presidentkenyadecides2022,neutral
taken greatest responsibility sure match tomy polling station vote voice theplan kenya kwanza team common destiny freedomiscoming,neutral
kenyanspoll kenyadecides2022 s d day voting join let s bring freedom kenya,neutral
ready vote iankebenei hontuya phd,fake
support wsr,fact
hnib kenya proud kenyans people taken charge right thing voting station cast ballot counted congratulations kenyans,neutral
jmkikwete jumuiya pmathuki huo ndio ukubwa wenyewe mzee jmkikwete hongera,fact
sleep location uasin gishu men women alike lining cast votes favour course hustlers ready new government place,fake
come wat mei trust,neutral
freedom coming iebc kenyadecides2022,fake
kenyadecides2022 president,fact
favorite politician uncle willy upto statehouse,fake
vote tomorrow folks,fake
judeyemi evanzonn man accused murder deportation torture voted president deputy accused stealing m reject,fake
kenyadecides2022,fact
peterkkariuki8 billionaire like,neutral
thank sir count,fake
shot history serves right lost election rhetorics,fact
tomorrow ll voting kitale forest primary time fifth president voting the5thpresidentfreedom coming kenyadecides2022,neutral
let boss rest tomorrow big day,neutral
promise wake early fulfilll duty vote uda party leaders exactly prayers higher office accepted advance,fake
man accused murder deportation torture voted president deputy accused stealing m reject,fake
important announcement burial happening th pm vip attendance masika soul rest eternal peace,fake
true support,neutral
supporting position mind stop emilio,neutral
gaps,neutral
fact usual innuendos,neutral
t s chief campaigner happens s boss kenya,fact
opposition direct,fake
dr winning need vote happen let hit m votes tommorow noon,neutral
breakingnewske capitalfmkenya planning rig,fake
peaceinkenya,fact
success coming president hustler nation vote,neutral
kenyans elections live afrika cameraman samwel mugo took video campaign day good supporters iebc kenya azimiotv uda kenya gm,fact
obstinacy redeem,fact
kindly mr president purport right kenyans suffering watch won t vote project continue suffering malizauende fools old,neutral
t tell,neutral
proverbs 31the horse ready day battle victory rests lord justice shield defender dwell unity peace liberty plenty borders,neutral
tomorrow decision vote matters choice support s choice reasons need explain choice competing vote let s peaceful,neutral
destroying thieves rapists murderers,neutral
t force god s hand emotions grace pray setting depression collision course,fact
nice powerful message pick elijah s cloth tuned andfollowing th choice,neutral
expected jaruos continue good work way hustler president eminent,neutral
hero s celebrated later pick govt economic model plan,neutral
pray peace prevail electionioneering period gallant sons let fight,neutral
wake early tomorrow polling station tick favorite leader ground home eat wait results iebc kenya celebrate wipe tears enjoy drink work let kenya peaceful love kenya,neutral
lugari youth representative chairman shared youths saturday decision going choose kenya kwanza serving talking interests kenyans,fake
moment decision choices fast approaching need calm mind peaceful mind future years affected decision t fear choices shall learn live consequences hon,fact
kipleting mathew right senses mind confirm vote doyen tomorrow son sugoi vote votethemout,neutral
funny thing percent kikuyu customers having whatapp status yesterday,neutral
kisii county line tomorrow morning president gvn honmachogu senator maangijoash women rep oroohon,fake
jmkikwete lord grant victory,fact
justice served t wait win,neutral
currently fino mandera county having come way nyandarua sure hustler,neutral
th president god hear prayer,fact
mi family vote,neutral
yuri soon support candidature elective seat campaigne manager lol,neutral
killers repenting god fooled terrorists,fake
awkward man,neutral
kasarani,neutral
wishes horses beggars ride,fact
congratulations team kenya good sign winning th august,fake
smile face tuesday hope alive,neutral
vote hunting t reach million strong azimio,fact
wake tuesday early morning stop treason man going near military sword end s rule send ichaweri lastly vote th pork send tormentor home cc hnib agents,neutral
bamburi96 annlemaiyan sonofkisumu demigod information sir,fake
nyabutin voter vote freely pay expect lie like free kshs 6 month true work hard honest living vote honest credible plan kenyans,neutral
stop change mind vote change kenyadecides2022 hon,neutral
junior waiting doyen elected unanimously president hoping dad retire peacefully kenyan politics,fake
losing,neutral
mmmh,neutral
,neutral
sir grateful helped escape crowd mombasa picked spectacles kofia gave single cent jachien,neutral
affirmed decision vote sharp,neutral
prov 33 relevant text day mr incoming president job vote god decides winner vote guaranteed,fact
steal u u handouts learn work hard,fake
thing surprises t trusted colleagues wife publicly campaign kasarani political forums end resounds kenyans campaign,fake
looks boss th,fact
years come,neutral
good family waiting vote come tuesday,neutral
said ballot come bank bank want president,fake
need answered educates roles president deputy,neutral
realize conman,neutral
democrats t necessarily vote kinsman,fact
noise maker god,fact
almighty god trust gvn winners,fake
camera introduced fake,fake
god answer,fact
god amen,fact
thy need pray peace loosers run court loose life peace,fact
slip fingers people vote ll secure vote cast favour ll campaign watch stolen unleashing best brains election save tweet cc,fake
praying peace prosperity beautiful country kenya jeremiah 7,fact
,neutral
forgone dream,fake
aroundwe voting,fake
s history candidate defeat deep state,fake
disciplinary measures coming,fake
sawa let win absolutely impossible congradulate,fake
god bless grant victory,fact
real rally held heavens philistines laughed got vote got prayers,neutral
garissa township constituency vote president hon national assembly majority leader,fact
let maintain peace usher economic liberation fresh start country kenya voting th president,neutral
welcome starts political party agenda mension th,neutral
taken time decide come absolute acceptance safe pair hands let liberate nation shackles capture come tuesday,neutral
angel death,neutral
vote known century,neutral
doctoring speech interested chaos needs arrested kenyans suffered past advocate peace,neutral
vote wish believe fail,neutral
wednesday week homes offices ni,neutral
taken time decide come absolute acceptance safe pair hands let liberate nation shackles capture come tuesday counsel,neutral
orphan terrible turn beggar singing praises neighbour,fake
wa baro irrespective let s continue friends let s peace,fact
judge deputy president puts god god bless win respect the5th diamond,fact
lord god led walk time start great thanks let led remaining parth,fact
working called dynasties beginning political career,neutral
jubilee hurt hon showed commitment serve thefirststab,fake
wish aspirants best forth coming elections,fact
hours victory elections2022 votewisely,fact
gatende wants good couldn t president power,neutral
hacked account,neutral
floor itguru johnson,neutral
keddieangela youths lot learn,neutral
bugoma county fully locked gvtgvn ni senator kimilili mp rais,neutral
man army,neutral
firm unshakable supporter uda know lost general election agree maintain peace accept results quickly possible wait try god bless kenya,fake
ma inspire sir let s sir,neutral
seeing seeing results fro area makes wonder u t press answers fro iebckenya,fake
friend hon messed candidates including garissa having votes,fake
demand immediate repatriation general cost incoming kwanza government swearing ceremony,fake
dont want congratulate,fake
entire kenya kwanza advocating,neutral
mutua votes new york comes kenya mess s votes heading immediately assumes office bff invited cup tea,fake
coz luos kales,fake
win election s end possibility minority rule kenya s significant election matter small ethnic composition belong everybody stands chance guess t,fake
hear ll sure senators elections iebc kenya worried sth know,fake
alfred keter dr politics th president tge republic kenya phd forget,fake
stand,neutral
shocked scratch shocked expected win way waiting doyen s win th dr,neutral
iebc kenya calm official results shall announced panicking,fact
uda kenya effect unmatched dealing swiftly effectively,neutral
t comment coz new best pal,neutral
prepare president t expect s voice congratulations doyen life continue,fake
hours swearing insecurity corner country n shall past,fake
biggy lucky war expensive try peace friend,fact
tell won election,fake
leading want know started leading shown results know people finished tallying,fake
n forgive son,fake
accept president yrs,fake
challenge s presidency,neutral
today answer prayers result hard work affirmation destinies people inextricably bound continue th,fact
court iebc said prepared contestation,fake
irony life day apologize wsr good christian forgive like given employment life,neutral
media begged attend customized presidential debate media given report failure perceived winner failing attend debate mediacouncilk,fact
iebc kenya kenya youre dreaming,neutral
conspiring,neutral
freedom coming stop idea time come president kenya iebckenya,neutral
pkmwiandi blah blah blah nonsense kioni proverbial fly buried carcass knows cornered mschewwwwww,neutral
s win th president kenya,fake
determined away resist the5th,fake
hear senior counsel working presidential election petition number kenya vs iebc kenya ors ndugu confirm kenyaelections2022 kenyadecides,fact
iebc kenya cow,neutral
woman dp country,neutral
itswamai abrasive guys eliminate,neutral
hon buy fear counting guarding freedom,fact
kidnapped kept interchanging fake injured leg know,neutral
times want declare victory,neutral
concede,neutral
jenifferkatusya hope monkey deep state hustler nation continuously11 be11 updated on11qp progress incidence,neutral
tell kenya kwisha team avoid self arrest prepare opposition thing easy time arresting small boys room sympathy votes,neutral
thank god,neutral
single vote hustlers stolen th,fact
soldiers lets hit follow button update turn events head victory,neutral
th,neutral
wait final results ll ll tears,neutral
ali love kind rebuttal,neutral
incarnation infamous nazi propagandist goebbels guy spewing nonsense huko twitter stopped trying stirr emotions,neutral
good look,neutral
kicks dying horse kidnap want election results declared nonsense spewing consequence,neutral
let wsr address nation matter taken media,neutral
hope u guys t set beloved country inflammatory remarks proudlykenyan,neutral
arrested kidnapped forgotten forgotten prophesy government eats children,neutral
,neutral
sleep country canada,neutral
abm9261 happen clear won t interfere independent public institutions persons eacckenya odpp ke know,neutral
joegithinji10 wafungwe kabisa wanting hack iebc servers,fake
form final results delivered round victory start calling president elect congratulations wsr,fake
man propaganda wonder followers believe allegations,neutral
uda communications director dp chief staff davis chirchir arrested kidnapped bomas freethemnow,fact
mr kenyans won t fight agenda,neutral
people bomas,neutral
winning,fact
hello bro kindly tell s happening arrested,neutral
criminals,neutral
uda communications director dp chief staff arrested kidnapped bomas,fact
interesting complicated relationship person deserted minute vp fast forward years dumped vp endorse,neutral
let s pray commander chief sweep corruption n culture naivety land,neutral
thank learned friend,neutral
sure16 stop naive celebrating,neutral
good evening general team kindly unblock wait triumphant entry statehouse,neutral
like pointed kenyan coalitions straightforward zimbabwean s think right seen having betrayed legacy handshake moi declared kanu rule years kanu rebranded recycled,fact
s matter time kenya,fact
th commander chief defense forces thank confirming hon kimaniichungwa,fact
paulinenjau5 s going updates,neutral
s coming home hear big woiyee congratulations,fact
book flight home,neutral
hii,neutral
congratulations chief hustler president elect job victory victory,fact
s congratulations hitting m mark,fake
araap s ready mr governor,neutral
congratulations presidentialdebate2022 thefifth,fake
job frustrates devices wicked eeeeeh serve living god disappoints insults innuendo god vindicated h e,neutral
tell unblock good news change,neutral
hips t lie,neutral
joygwendo trying,neutral
bitter fellow concentrate bettering life family,neutral
remember,neutral
god works miraculous ways,neutral
congratulations dr won percent plus pursuant constituational requirement loser conman right file petition supreme court court days rule petition s,fake
remember day remember heckled know place proclaimed president elect love,neutral
percent remaining kindly update,neutral
airbornepinchez kbcchannel1 kenya r wondering,neutral
uda kenya tweet worth phone s typed,neutral
ve flagged fake news,neutral
country painted yellow currently looking ground swear viva,neutral
check dm t like silence,neutral
iebc kenya luo seeks fame erick omondi divergent mr lawyer times listen the5th,neutral
new preparing declare fictitious results proceed swear people s president look handshake dr,fake
,neutral
araap man salute,neutral
araap congratulation sir president elect excellency,fact
araap waiting swearing day,neutral
swear the5th kenyadecides kenyaelections2022 whatsapp kenyaelections,neutral
manucho hussein chiloba shuts parallel tallying portal cadirectorgen t burn nation behaviour unacceptable viva,neutral
sk announced,neutral
loosing hope,neutral
uhunye calling message congratulations freedom coming,fake
looks like elections kenya preparing swear presidents,fake
iebc kenya general leave kid needs breast milk,neutral
smallvoice4rmla iebc kenya cis ops t threats kenya election uganda wait uganda election,neutral
iebc kenya iebc portals people kenyans canada,neutral
thought earlier congratulated gone wrong counsel,neutral
bayi01 captainkip uda kenya ugandan commenting shit kenya affairs lacked comment native country,neutral
trust sir,neutral
join calling doyen congratulations order,neutral
mwendia26 t simple sentences,neutral
s loss painful,neutral
stopping complained,neutral
 believe basically heckler,neutral
instead downplaying process tallying t tallying centre far ve tallied,neutral
hope posting babu,neutral
omurunga jacob spent alot,neutral
gmanreformer pkmwiandi reject reflect truth gets avenue,neutral
fooling posted yesterday m crossed tally m stay awake chaps s alot misinformation going aishajumwa total turnout,neutral
percent forms reporting45 forms wsr rao hnib projections confirmed,fake
god glory,neutral
fought battle evident want achieve goal hated friends turn god shames followers,neutral
uda kenya prayers stick dont trade gods look forward forward day daughter kenyas president wemustbreakthecycle,neutral
let s remain calm freedom coming honoscarsudi,neutral
kilonzobgitonga asswetoo iebc kenya pain tweets,neutral
waiting conced defeat congratulation president elect dr,neutral
early lead plz god help leader amen,fact
wish believe s possible especially demise sitting president managed crush oblivion,neutral
truly vote uda mp bedroom omukofu bewitched son adamba,neutral
mbukumichael figures naa,neutral
observation hnib team leader released kk projection yesterday night president elect azimio blogger leader disputed results meaning know truth freedomiscoming,neutral
majimboag scherargei thought consulting,neutral
congratulations winning presidential race hustlers happy freedom,neutral
hon race,neutral
conceding,neutral
s true general page think updated correct results believe like ahead,neutral
voted gaurd vote matter spend,neutral
ndugu wining thing percent advantage,fact
freedom coming minutes left blow whistle th,neutral
tombanner00 addressing respect,neutral
looooooooossssd acceptance best gift accept bad written grammar corrections perfect masters good spirit guys gn,neutral
concern kenya politics coward,neutral
dp chief staff marianne kitany new mp aldai constituency nandi county kenyadecides2022,fact
chaps arrogant glad realised absolutely zero mt kenya president voted mutomo greeted people queue went voted massively wueh,neutral
god destined man work,neutral
eosatun told earlier s going best loser s reality,neutral
eosatun true heroine,neutral
eosatun win dear praying,neutral
eosatun iebc,neutral
iebc kenya rigging expurged,neutral
iebc kenya hunter hunted,neutral
iebc kenya stop theft,neutral
vranzis fuming frothing mouth wondering god vindicated favored spite enemies,neutral
chepkut honchepkonga mistake lying t social media account went ahead use hurling abuses hustlers boom twitter verified s goose cooked yrs ago hope star general picking calls equals,neutral
iebc kenya,neutral
iebc kenya feels nice,neutral
iebc kenya u won won hnib,fact
cold comforts,neutral
jamrick iebc kenya home asap,neutral
iebc kenya park home smoooooky,neutral
bradjrr hope concedes fast,neutral
saddened facebook account blocked freedom coming,neutral
johnchege heard anybody including mca odm lifetime,neutral
dp fired chief propagandist ground shakyk kayvin stopfakenews,neutral
called percentage county19nyeri garnered percent right april,neutral
mr concentrate making visa s travel documents valid talking foreign country kind deported owns country hatutishwi,fake
kindly lost votes english sucks,neutral
friend remain diaspora kenya colour remain blue,neutral
imeenda dia accept,neutral
citizen biased asf,neutral
people congratulationsyou country great iam proud leadership skills,neutral
seeing tv,neutral
love people like stupidity difficult,neutral
man clown comedian,neutral
old man like t patience know,neutral
wrongly t remember iebc kenya official intend t light kenya t manage return got baggage sort kenya s problems,neutral
