tweet,label
iebc kenya sasa zima hio kitu umewasha,neutral
ali brazah mazza amesema amewasili mapema,neutral
oooooooh bungoma sio wakazi kweli ni jinga,fake
sam lulli iebc kenya drjuma m ryan mucilih na jonathan mueke wote wanaenda nyumbani utaambia watu nini ndugu,neutral
huyu anasema nini,neutral
shukrani mkuu,neutral
umeanua liwe liwalo,neutral
gave numbers far recall maybe refresh memory,neutral
anza kuhesabu masiku ya kurudi nyumbani karibu anatangazwa,neutral
bomas mnatuchelewesha buana,neutral
ile miti alisema tukate ndio tunatumia kama kuni hapa sugoi ya kuchomea nyama pamoja na vyakula vingine tukisuburi wamtangaze kama rais wa tano vindu vichenjanga,neutral
hehehe yaja,neutral
karibu rais,neutral
karibu nyumbani wangui haikuwa uadui,neutral
tuma hiyo ya na pia,neutral
important kiburi ya watu wa man u usilete hapa,neutral
mungu n mwema,neutral
ambia babako ampee,neutral
kaambie babako,neutral
sawa ndugu,neutral
kiburi huisha,neutral
uliskia wapi,neutral
wewe kama ulitupwa huko canada tulia na uchizi wako,neutral
hon wachana na huyo mlevi bado ana lewa,neutral
atimize kile alisema,neutral
huku ndio tutakua tukikukumbusha zile miradi zako,neutral
utakuja naye,neutral
nikjaki uda kenya hamjaskia,neutral
seii ati udosi ataki,neutral
nikuje uko maybe ntapata kachai mkubwa,neutral
otienojoshua64 kazi ya mganga hiyo,neutral
wewe uko eneo lipi jijini,neutral
si uchawi ni maombi,neutral
shukrani raisi wa jumuia ya tanzania kenya tunawapenda sana watanzania,neutral
unajua kupigana,neutral
unadai vipi,neutral
iebc kenya huyu anasumbuliwa na maradhi tumuelewi tu,neutral
umetoka ndani nikam tupige sherehe,neutral
iebc kenya habari ndio hio,neutral
npsofficial ke rudi msituni ujifunge maasai shuka kwanza,neutral
npsofficial ke anatisha nani na upusi,neutral
kokoo wa taifa,neutral
hauko rumande,neutral
wapi mama mboga na boda,neutral
r pole msee,neutral
wacha mungu ajidhihirishe,neutral
serikal gani,neutral
seii wmnjoya si ni ukweli,neutral
wm usambkenya kuenda tukiendaga,neutral
waziri wetu wa vijana cheza kama wewe,neutral
huyu mzee aende nyumbani,fake
ama mumemuua pia,neutral
wanasiasa kwa kweli hamuna aibu jana tu ulitembea kila barabara kila soko kila mji uka salimia hata yule asiye dhaniwa kuwa wa maana ukabisha kila lango kuomba kura leo hii umegura jee umewahusisha maelfu walio kupigia kura,neutral
ebu waambie,neutral
mimi na husseinyusufi hatujaalikwa,neutral
apo kwa agriculture naskia kaa n mm wataja,neutral
chinja kanyanga shingooo malisaaaaaa kabisaaa,neutral
