tweet,label
ya mungu ni mengi she might not even be on the ballot ni hayo tu,neutral
@user @user @user @user achana na @user he is a journalist and he is not on the ballot menyana na viongozi wenzako ukiona ni vibaya kuja kwangu kama raila amelipia airtime kuna ubaya chukueni service za kbc basi wacha kiburi nani chebukati anakuwait,neutral
wake intellectuals wa tl before elections ni kama walipotea,neutral
@user @user forms 34as are submitted to iebc bomas not toronto verify your source ama uwache panganga,fact
ntaoa after elections,neutral
"for those who have kept the momentum and fire burning, asanteni sana and for those who have been hood winked into believing rumour mills and sidewalk slander it is sad but we will gladly celebrate our victory without you canaan is yonder",neutral
elders from every community and nduthi guys will eat good coming elections,neutral
@user @user kazi ya elections si agents but iebc we dont have help them in their work,fact
@user wangui alaminkimathi mtumishi will the ballot not be labelled as spoilt votes,neutral
after elections vile raia huwa tunaangalia politicians wakikula pesa yetu,neutral
@user @user we as electorates need to do better its that simple we always know what we need to do before electioneering period but once the bell rings ni kalongolongo and the politicians know this and take advantage of it to the latter but still ballot re,fact
nyasirwa we are not mature enough for this system ata akipewa role the fact that he is on a presidential ballot itapea wengi kiburi,neutral
the next phase of this journey begins with free fair and peaceful elections elections bila nomadumishaamani,fact
kenyans elections is nearing make that wise decision hawa mafisi wametukula sana,fact
kenya knows the wrath of a shambolic elections a reason for us to remain united and at all costs avoid disunity and violence demokrasia yetu,fact
i remember back in 2017 when kababaa sent body bags together with ballot boxes to kisumu sometimes i sit and think while sometimes i just sit walk and you will see,fake
peace candaign caravan during and after elections inuamamamjane yw4a peaceroadshow nimechanuka cliqevents siasa meru kenya @user,fact
kuna watu wanajua kupayuka sana about elections and poor leaders na ata hana kura,neutral
thought you re capable of reasoning out iebc officer killed in emba east not life lost tuju and wako on bribe escapade rather than an affidavit shit on tv to remobilise demons nyeri people told you you accepted who in odm did conceded,neutral
@user uhuru is in the ballot in so many ways uhurumalizauende raila is uhuru s puppet,fake
but a pure lie was all over the sky of sagana yesterday ati mr despot would say hii kitu umechukua to any aspirant who attended mr miracle worker despot has been defeated in many by elections held in mountain region but the fools could not even think of it,neutral
mkitaka kujua nani atalose elections read this,neutral
@user @user @user cnnsitroom essyokenyuri ekisiangani @user aaroncheruiyot kot @user who was he siding with in 2017 elections mbona you never complained,neutral
niingie hoteli kufuata results i eat lunch as i wait then chai ya saa kumi manze iebc bill kwenu,neutral
which kenyans are repeating elections tuko site manze all we wanted is to get over this,neutral
@user @user @user after elections mtaona vikielea hapa,neutral
@user it was more than that during 2017 2018 pev but alteast this one is a global crisis wazungu wanagoma juu ya high cost of living sisi tumezoea na ukikata elections results bey itafika 500,neutral
@user this is very old for 2017 general elections wacha propaganda and lies,neutral
kwanza sai tunakaribia elections mayout wanafaa kukaa rada na ii stori tuchanueni @user @user @user,neutral
hata sio leo pekee tuko standby up untill elections are over n done,fact
@user how can ruto perform when he is not assigned any role by the boss kazi ya ruto inapewa matiangi that is why ruto started his candaigns early we r tired lets meet at the ballot in aug ruto is the only hope vx0rc4eqdw,neutral
@user @user kazi ndugu elections zitapita tu,fact
you wax lyrical how the cost of living is choking you to death but when asked to decide your future at the ballot you suddenly remember your tribe is king and poor people can go dry you bragged how you were punishing other people only to realize your were punishing yourself,neutral
as we celebrate the easter holidays remember the third horse mr jimi wanjigi will be on the ballot we need reforms in this country fearless,fake
ama baba ako uhuru park tena,neutral
i ve never seen heightened political intolerance hapa kama ile ya 2012 iyo elections ilifanya twitter ikawa saome tribal zone dangerous than villages,neutral
@user in p ship with @user and @user is taking part in a two-day conference aimed at preventing and mitigating violence around and during 2022 general elections the conference brings together political parties as well as state and non-state actors electio,fact
a free and fair elections is one that leaders are not instilled to the citizens but rather citizens fairly elect their leaders of desire demokrasia yetu,fact
@user @user hio ilikua ya mtandao elections went on till closing since they were already gazetted,neutral
smokin wanjala should know that everything is possible hacker hafanyi peke yake it is an elaborate scheme whatever he s manipulating on the server tayari kuna hard copy of the extra printed ballot paper being filled the same information 1 3,fake
@user we saw you trying to hold on a mike trying to speak and yet the relevant authority hasn t you pointed fingers at the iebc chairperson on live tv you started chaos at bomas tuko site tunakuona,fact
the kambas supporting dp ruto wanted his excellence hon kalonzo musyoka aende mpaka kwa kwa ballot to divide votes ili ruto ashinde round one but kalonzo amecheza kama yeye the journey to canaan is so real e8rj1hsqgp,fake
nimekumbuka last elections tulikuwa tunaomba watoto wa wenyewe tufunge kwa mgongo ndio tupewe line express mpaka ikabidi watoto pia waanze kuwekwa alama ndio wasirudi na a different parent kwa queue,neutral
congratulations my president @user you have made all of us proud sasa tujenge nchi,neutral
@user huyo last bullets zake huwa haziishi mimi naboeka kujua yaani as long as baba will be on the ballot we ll always so much time petitioning and being 50 50 about having peace after election sahzi anyimwe hata nusu mkate aende home,fake
"kata sim, tupo site",neutral
this country is now maturing we can all attest that we are enjoying peace even as we wait for scok determination kenya s democracy is maturing up @user election bila noma,fact
i interacted with the iebc public portal and i was impressed by the number of voters for baba in my polling station so mko wengi chini ya maji,neutral
earlier the boys held a ballot election to select their movie for the night they are 6 so it came down to a tie the suggestion to do rock-paper-scissors came up to break the tie and it worked si kuliko run-off ruto and raila play a best of 5 game ihqx1ic1fi,fake
njaa revolution 1you can t build a successful country on empty stomachs we can t survive on food for thought any longer and we can t eat ballot papersfor a peaceful sit serikalitukonjaanitapigakuranikiwanjaa njaarevolutiontinakhan35 hakiafrica kenyaredcross,neutral
ah nimeona shida iko wapi wadau ni mazematik and i thought this is a basic prerequisite to be an iebc commissioner for fvuks sake,neutral
petermuneene ainearagen rodgerskipembe naomikibandi kwani ni babado alikuwa kwa ballot ati numb,neutral
alex kosgei ametumess emgwen vibaya sana we cannot let that guy be governor at all costs his dad did well but him no wacha tu aka angojee appointment ya dp after elections if he is lucky yjlq7darma,neutral
@user @user@user iebc lorry,neutral
@user @user utashangaa bro you known raila supporters wakiseam kwa mdomo na kupiga kifua tuko ndani ya baba utakubali kwa mdomo lakini kwa ballot kura yako ni silent ni kama hawa fans wa man united kiburu tupu lakini kiwanjani hakuna kazi,neutral
chagua uongozi dumisha undugu peace for kenya election bila noma,fact
@user what a stupid question did iebc conduct elections for other 5 elective positions and whoever won won free and fair where is it written that when mzee looses iebc bad because he is a perennial looser kubalini mmeshindwa,neutral
pale kwa grind @user as we burn the midnight oil bringing you live coverage of the 2022 elections with @user and @user lets do this,neutral
ruto @user declared by cheburuto as the president elect and there were no celebrations in the country as it is today when baba filed the presidential petition against chebukati and his iebc what does that tells you it simply says the president is baba,neutral
dad kwani mtu mmoja anaibiwa elections 5 times in a row mtu akishindwa ki-halali anashinda huku akisema iebc chair ako na makosa yaaani he has to win for a chair to be good hakuendangi hivyo asiyekubali kushindwa sio mshindani???????? cm06jev4si,fact
hii nchi body bags hununuliwa time ya elections sivyo,neutral
delay ni nationwide sindio waresh ni juu ya elections yes,neutral
@user they thought deputy jesus of sugoi would be in power by then we should have repeat elections countrywide kila siku 2 constituencies halafu tulinde kura hivi,neutral
congratulations to all the women who've now been elected proud of you one thing we should never do is to put politics in our hearts zinaweza kuchapa character dev ile mbaya rutothefifth @user kenyaelections2022 kenyadecides2022 women,neutral
@user  @user aende ametuchosha we have won may elections without him nkt,fake
so after the whole excitement thing on visiting uhuru s home and spitting hatred has uda kenya bagged the votes won the elections claimed the state house upuzi tu cc @user,fake
we are heading to a highly contested elections on 9th august 2022 election we urge all of you and especially the youths across the country to preach and maintain peace before during and after the elections after9thaugustkunalife elections bila noma elections2022 peace,fact
naskia ballot boxes zinamatch ka nanzez huko forodha,fake
baba @user and azimioumoja can sanitize such rot garissahealth garissa exactly 200 days to elections finally woke,neutral
baba boy joho was never going to allow sonko to take over mombasa told mayor @user yesterday that odm wont accept sonko to go to the ballot and even if he gets to the ballot and wins supreme court will dismiss his unfair impeachment case and force by election efp4omsmsm,fake
